"doi"
"10.1093/biosci/biw175"
"10.1177/1357633X16630846"
"10.1016/j.respol.2016.11.009"
"10.1016/j.adhoc.2016.09.013"
"10.1109/ACCESS.2017.2670024"
"10.4018/IJPADA.2017010102"
"10.1016/j.ijinfomgt.2016.06.009"
"10.1080/10410236.2015.1079760"
"10.1007/s13278-015-0310-0"
"10.1016/j.ecolmodel.2016.06.006"
"10.1371/journal.pone.0163914"
"10.1111/hex.12394"
"10.1016/j.ijproman.2016.06.005"
"10.14429/djlit.36.5.10283"
"10.6036/8016"
"10.1371/journal.pone.0161027"
"10.1016/j.ufug.2016.06.009"
"10.1016/j.chb.2015.12.005"
"10.7705/biomedica.v36i1.2646"
"10.1049/iet-ifs.2014.0466"
"10.1016/j.landusepol.2015.11.017"
"10.1007/s00267-015-0606-x"
"10.7198/S2237-0722201600010001"
"10.5220/0005811101620171"
"10.1108/SBM-07-2015-0021"
"10.1109/ICCCE.2016.27"
"10.1108/IJPDLM-05-2015-0122"
"10.1145/2818048.2819933"
"10.1145/2858036.2858415"
"10.1016/j.sbspro.2016.06.201"
"10.1080/14783363.2015.1070095"
"10.1108/MD-06-2015-0230"
"10.1109/CCGrid.2016.107"
